"","Participant.Nr.","Time","Location","Date.Time","Age","Gender","Student..Y.N.","English.Proficiency","Ground.Truth.1","Ground.Truth.2","OrderOfLie","Veractity.Accuracy","Veracity.Coding","Judgement.By","Frequency.of.Lie","Confidence.of.Deception","Saturday","Sunday","NOTES","Transcriptions","Sat_Veracity","Sat_Person_NU","Sat_Location_NU","Sat_Time_NU","Sat_Facility_NU","Sat_GPE_NU","Sat_Product_NU","Sat_Date_NU","Sat_Money_NU","Sun_Veracity","Sun_Person_NU","Sun_Location_NU","Sun_Time_NU","Sun_Facility_NU","Sun_GPE_NU","Sun_Product_NU","Sun_Date_NU","Sun_Money_NU","Total_Sat","Total_Sun","Total_Truth","Total_Lie","Predictive_Accuracy"
"12","12","Past","UvA Library","09-12",22,"Female","Yes","4","Throwing a party with housemates","hangover",2,"Accurate","1","Sally",4,8,"I went shopping with my friends, yes. "," On Sunday I was a bit hungover."," ","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,1,0,0,1,1,0,"Mistaken"
"13","13","Past","UvA Library","09-12",24,"Male","Yes","4","I was studying","I was with my family",1,"Mistaken","0","Sally",8,2,"On Saturday I was studying, and after that I went dinner with my roommates, and we played a game in the evening","On Sunday I was studying in the morning and then after it we went on a boat tour with some friends. And in the evening we had, I had dinner with my family.","felt that frequency of lie question was answered as the frequency of the actual activity they did","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"14","14","Past","UvA Library","09-12",26,"Male","Yes","3","I went to the beach to go running cooked for family and had beers","Working all day homework at night",2,"Accurate","1","Sally",1,6,"On Saturday I went to the swimming pool with some friends, the tikibad in Wassenaar. And in the evening we had some dinner.","On Sunday I went to work, then after that in the evening I did some study and was with my family","Counter intuition","Done","Lie",0,0,0,0,1,0,1,0,"Truth",0,0,0,0,0,0,1,0,2,1,1,2,"Correct"
"15","15","Past","UvA Library","09-12",23,"Male","Yes","5","concert (shity artist)","movies drinking",1,"Accurate","1","Sally",10,8,"Last saturday I went drinking, I went to a concert of a really shitty artist. It was fun but it was like really bad quality, but it was a good day.","On Sunday I a soccer match, or football, whatever you want to call it. I played at a club here just around the corner, we lost but it was a good match.","Physical movement as indicator of lie","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"16","16","Past","UvA Library","09-12",23,"Male","Yes","4","celebrated sinterklaas with family","didn't do shit. couch all day with family",1,"Accurate","1","Sally",8,3,"I celebrate Sinterklaas at my parent's place in Twente and pretty much only that, for the rest just chilling. ","On Sunday I just went drinking with some old buddies of mine, I have not been there in quite a long time so it was worth the effort","Laughing","Done","Truth",0,0,0,0,2,0,0,0,"Lie",0,0,0,0,0,0,1,0,2,1,2,1,"Mistaken"
"17","17","Past","UvA Library","09-12",21,"Female","Yes","5","went to a bar","went to the library",2,"Accurate","1","Sally",8,9,"My friend works at a juicery so I went and spend the day with her and had free food.","I went to the gym in the morning and then I stayed home to study all day.","judgement  based on only story I could remember","Done","Lie",0,0,0,0,0,0,1,0,"Truth",0,0,1,0,0,0,1,0,1,2,2,1,"Mistaken"
"18","18","Past","UvA Library","09-12",21,"Female","Yes","5","sick at boyfriends house","singel library",1,"Accurate","1","Sally",1,4,"On Saturday I was sick so I went to my boyfriend's house to chill.","On Sunday I went to the gym in the afternoon","Judgement based on response of thrid party","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,1,0,0,0,1,0,1,2,1,2,"Correct"
"19","19","Past","UvA Library","09-12",21,"Female","Yes","5","worked in the afternoon / out at night","ride horse",2,"Accurate","1","Sally",6,10,"So I went to a date with a guy I met through 'Safa'.","I woke up really really early and I went to ride my horse."," ","Done","Lie",1,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,0,0,1,0,0,1,"Correct"
"20","20","Past","UvA Library","09-12",21,"Female","Yes","5","watched movies, went out at night","studied",2,"Accurate","1","Sally",1,10,"I worked, I work in a fashion store and I worked the whole day.","I studied here in the university.","transcribed ""uni"" as ""university""","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"21","21","Past","UvA Library","09-12",21,"Male","Yes","4,5","singel library all day","singel library then shopping",1,"Mistaken","0","Sally",2,5,"So Saturday I was in Singel, I was studying for my bachelor thesis, and I was there the whole day","Sunday I also went to Singel, for my bachelor thesis, and in the evening I went to play basketball.","Only half a lie, about the second end of the day","Done","Truth",1,0,0,0,0,0,1,0,"Lie",1,0,0,0,0,0,1,0,2,2,2,2,"Inconclusive"
"22","22","Past","UvA Library","09-12",22,"Female","Yes","5","went out clubbing","worked",1,"Mistaken","0","Sally",8,8,"On Saturday I went out to a club in the evening","On Sunday I tried to do some studying but I was a bit to hungover so.","Told only part of the day?","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"23","23","Past","UvA Library","09-12",22,"Female","Yes","4","went out clubbing","hockey and study",1,"Accurate","1","Sally",1,4,"I went out.","I worked at the coffee shop.","Based on thrid party info; girl before. Modelled answer after the friend that went before her.","Done","Truth",0,0,0,0,0,0,0,0,"Lie",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"24","24","Past","UvA Library","09-12",30,"Male","No","4","Birthday of grandma of girlfriend, night nothing","sustainability fashion fair, learned to crochet, pizza for dinner",1,"Mistaken","0","Sally",7,6,"On Saturday I went to the birthday of the grandma of my girlfriend. In a city next to Amsterdam. In a fancy hotel. And in the evening I did nothing because I was really tired from the night before","On Sunday I was so tired that I stayed home. My plan was really to stay home and even maybe to write some stuff for work. But in the end, someone at around like 17:00, pushed me to go for drinks. So I went to the De Preal, it is a nice brewery in the center. And then I had dinner at home around 21:00 and I watched a series."," ","Done","Truth",0,0,1,0,1,0,1,0,"Lie",0,0,1,0,0,0,1,0,3,2,3,2,"Mistaken"
"25","25","Past","UvA Library","09-12",25,"Male","Yes","5","Multiple Parties","Playing Guitar Sleeping",2,"Mistaken","0","Sally",1,8,"On Saturday, I worked around the house. Did some windows, I had a, how do you say that? They came over to work on the house, on the outside. It got really dusty so I had to brush most of that off. And while I was brushing that off I also accidently removed quite a lot of paint, so I had to brush that back on. It was super nasty stuff, and I got it on my hands and, I still have like itch, itches from that."," Sleeping. Like for a very long time actually. Played the thorp. And reading, I read Bold by Diamandes, Peter Diamandes. It is a Greek entrepeneur. It is really interesting."," Physical movement threw me off","Done","Lie",0,0,0,0,0,0,1,0,"Truth",2,0,0,0,1,0,0,0,1,3,3,1,"Mistaken"
"26","26","Past","UvA Library","09-12",26,"Female","Yes","4","home with flatmate chilling","library",1,"Accurate","1","Sally",2,2,"I was just at home with my flatmate. We were chilling a bit, watching TV, listening to some music.","On Sunday I visited my Grandma who is living in Amsterdam. And we were having cake and coffee and it was super nice.","delayed adding of details","Done","Truth",0,0,0,0,0,0,0,0,"Lie",1,0,0,0,1,0,1,0,0,3,0,3,"Correct"
"27","27","Past","UvA Library","09-12",26,"Female","Yes","4","Athens","Athens",1,"Accurate","1","Sally",1,7,"On Saturday I was holidaying in Athens and I ate a lot, and I drank a lot. And I got to know a very cool bar, and the boys treat us a lot of alcohol. I was pretty drunk, yeah.  ","On Sunday, it was time to come back here. So I went to the airport, and then a bit of hangover, and then the flight was delayed and I was in the airport with my boyfriend for some time. And then I came back in this weather. Quite depressing really.","logical deduction, if you spend a weekend in a city you won't fly back on sunday","Done","Truth",0,0,0,0,1,0,1,0,"Lie",0,0,0,0,0,0,1,0,2,1,2,1,"Mistaken"
"28","28","Past","UvA Library","09-12",24,"Male","Yes","4","Friends over","also hanging out in the city",2,"Mistaken","0","Sally",1,5,"I can tell you. I went to the Efteling and to this, how  is it called, theme park. And it was organized by my housing RA's. And yes we actually went there but it was pretty cold. Yeah but it was a good afternoon, a good day. ","I had friends over on Sunday. I would love to tell you more what I did, but actually we did all this tourist stuff, we got to coffeeshops so all my thoughts about it are pretty blurry, so I am not really sure what we did. Just hanging out I guess.","did not think one would like about going to a teampark and who organized the trip etc.","Done","Lie",0,0,1,0,1,0,0,0,"Truth",0,0,0,0,0,0,1,0,2,1,1,2,"Correct"
"29","29","Past","UvA Library","09-12",22,"Female","Yes","4","At library Tilburg studying than amsterdam at night","roc studying, citu center with friends for dinner",2,"Accurate","1","Sally",1,4,"Last Saturday I was in Den Bosh buying presents for my family, Christmas presents. And I bought like something for my sisters. And then I came to Amsterdam in the afternoon","On Sunday I was here, studying for an exam I had on wednesday. And then in the evening I went to have some dinner with friends. ","""I bought something"". Actually replaced the lie with an activity done yesterday","Done","Lie",1,0,1,0,1,0,2,0,"Truth",0,0,0,0,0,0,1,0,5,1,1,5,"Correct"
"30","30","Past","UvA Library","09-12",25,"Male","Yes","5","Study for an exam","Study for an exam",1,"Accurate","1","Sally",8,7,"Saturday I was studying for the FCIS exam Monday. I did like, I was prepared before but I still had some stuff I really needed to catch up on. So yeah.","Sunday I was working. Because I have to work 56 hours a month to get studiefinanciering so sometimes even though an exam is coming up I still have to work. So I was working in the Golden Temple restaurant. ","Added the extra detail of ""even though I have to study"" as if trying to be extra convincing. Is the truth in general though","Done","Truth",0,0,0,0,0,0,2,0,"Lie",0,0,1,0,0,0,1,0,2,2,2,2,"Inconclusive"
"31","31","Past","UvA Library","09-12",22,"Female","Yes","4","Study","Study",1,"Accurate","1","Sally",1,5,"I studied at the library which is in the center, and had dinner with my friends, and after that we take a walk around the center because it is like a light festival. So we just have a look of it.","I went to Den Haag, I visit the beach with my friends","Lack of detail","Done","Truth",0,0,0,0,0,0,0,0,"Lie",1,0,0,0,0,0,0,0,0,1,0,1,"Correct"
"32","32","Past","UvA Library","09-12",21,"Female","Yes","3,5","not much, slept in. friend party beer pong, late cafe party 4 to 3 am","referee for hockey 11 am, hocky meten home sinterklaas",2,"Accurate","1","Sally",9,6,"Yeah sure. Saturday during the day I did not do that much because I was pretty hangover from the night before. And then I went to work at 18:00 and I had to work until 04:00 and it was kind of a quiet night. But I had a lot of fun with my co-workers.","On Sunday, at 11:00 in the morning I had to be a referee at a hockey game. And then I had my own game, played it, and then I went to celebrate Sinterklaas with his family."," ","Done","Lie",0,0,3,0,0,0,1,0,"Truth",0,0,1,0,0,0,1,0,4,2,2,4,"Correct"
"33","33","Past","UvA Library","09-12",24,"Male","Yes","4","studying, party noord, beer pong and had cosmos then party at cafe","studying, sleept, sinterklaas, made present for brother",2,"Accurate","1","Sally",1,8,"Last Saturday I had to work from 12:00 to 18:00, it was quite busy during the day, a lot of people. It was actually my first time, I have a new job. So I started, like I had to figure out how it works, it was pretty stressing. And after I went to a party with a couple of friends in Noord as well, and at last we went to the disco Dolly's that is in the center. And we got pretty drunk, it was nice. That was my Saturday"," Well since I got pretty drunk on Saturday, I woke up quite hangover, then I studied for a bit. Wrote a poem for my brother and I went to my family to celebrate Sinterklaas. That is it. ","Based on third party infor; girl before. ","Done","Lie",1,0,1,0,1,0,3,0,"Truth",1,0,0,0,0,0,1,0,6,2,2,6,"Correct"
"34","34","Past","UvA Library","09-12",22,"Female","Yes","5","christmas market in munstar","bed all day",1,"Mistaken","0","Sally",1,6,"Yeah, on the Saturday I went to Christmas market in Munster, in Germany, with some friends. And in the evening we go out to eat, we went out to eat, and had a few gluhwein, and yeah that is it. ","In the morning we went to a zoo. It is in Munster as well. It is like with, where you can go inside even if it is bad weather, so that was good luck. And in the evening we really did nothing, like just layed in bed. "," ","Done","Truth",0,0,0,0,2,0,2,0,"Lie",0,0,0,0,1,0,0,0,4,1,4,1,"Mistaken"
"35","35","Past","UvA Library","09-12",28,"Male","Yes","5","Home and worked on assignments","Same",1,"Mistaken","0","Sally",8,2,"Yes last Saturday I stayed at home, worked on my assignments, and during the break I went out for a run, some sports. ","Sunday I also stayed at home but I did laundry and cleaning kitchen and this kind of stuff. And also did some sport, I went to the gym, and no running. "," ","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"36","36","Past","UvA Library","09-12",22,"Male","Yes","5","de school (club) for free","layed in bed and smoked weed",2,"Accurate","1","Sally",1,8,"I had a fantastic Saturday. So I was uhm back home on friday in London and I went to meet my friend Hannah Hickingbottom and we went to the Tate Modern museum and I flew back in the evening. ","My Sunday I just layed in bed and got very stoned. I did absolutely fuck all.","Based on amount of details and how fast he spoke","Done","Lie",1,0,1,0,1,0,2,0,"Truth",0,0,0,0,0,0,1,0,5,1,1,5,"Correct"
"37","37","Past","UvA Library","09-12",21,"Male","Yes","5","study","study",1,"Mistaken","0","Sally",1,1,"Hi I, I spent it all day studying, or trying to at least. That is literally it. Yeah exciting times.","I went for a bike ride first, and then I found a place to go for sunday dinner. There is actually an Irish pub around here that does it, which is amazing. "," ","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"38","38","Past","UvA Library","09-12",23,"Female","Yes","5","came to uni and studied","same",2,"Mistaken","0","Sally",7,8,"Yeah we went out because it was my friend her birthday. We went out for drinks and then we went out to a club. ","I came her to study because I am writing my thesis. So I came to just do stuff about my thesis.  "," ","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"39","39","Future","UvA Library","09-12",20,"Male","Yes","5","clean house","study",1,"Accurate","1","Sally",1,7,"I am going to have to clean my apartment, because we are going to have to leave the apartment very soon and it needs to be super clean because otherwise we might not get our deposit back.","Yea on Sunday I'm going to Antwerp because I have been living in the Netherlands for about two years now and I've never been to Belgium so I was like, I really need to go to Belgium at some point, so yea. ","Based on emphasis of the ""because""","Done","Truth",0,0,0,0,0,0,0,0,"Lie",0,0,0,0,4,0,2,0,0,6,0,6,"Correct"
"40","40","Future","UvA Library","09-12",21,"Female","Yes","5","Go clubbing","brunch",1,"Accurate","1","Sally",2,5,"Yes I will hopefully be going clubbing with some of my friends because I am going back home to Dubai where I live normally, before I moved here, so I'll be going clubbing with them.","On Sunday I will be studying because I have an exam in two weeks time, so I should be studying on Sunday"," ","Done","Truth",0,0,0,0,1,0,0,0,"Lie",0,0,0,0,0,0,3,0,1,3,1,3,"Correct"
"41","41","Future","UvA Library","09-12",24,"Male","Yes","4","Studying","studying",2,"Mistaken","0","Sally",3,7,"Um, I think on Saturday I'm gonna spend the night with my friends. We are going to have dinner, something really chill, because then","On Sunday I need to of course start studying a bit and stuff because I have an exam due, a paper due, on Monday."," ","Done","Lie",0,0,1,0,0,0,1,0,"Truth",0,0,0,0,0,0,2,0,2,2,2,2,"Inconclusive"
"42","42","Future","UvA Library","09-12",23,"Female","Yes","3","studying ","studying",2,"Accurate","1","Sally",2,6,"Yea, uh, Saturday I am going to dinner with my friends, with her and some other girlfriends, and we are going to a party later. ","Sunday I'm gonna study. ","unknown","Done","Lie",0,0,0,0,1,0,1,0,"Truth",0,0,0,0,0,0,1,0,2,1,1,2,"Correct"
"43","43","Future","UvA Library","09-12",24,"Female","Yes","3","Watching a movie","Same",1,"Mistaken","0","Sally",2,6,"Next Saturday I'm going to the movie Continuum with a friend","Sunday I'm going to have dinner with my boyfriend and my parents. ","incorrect judgement based on handmovement","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"44","44","Future","UvA Library","09-12",23,"Female","Yes","4","Work","Sleeping, birthday party in East of NL",1,"Mistaken","0","Sally",3,5,"Next Saturday I have to work all day, and that's actually it.","Sunday first I'm going to the movies, and then I'm going to a party of a friend. ","incorrect based on lack of details","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"45","45","Future","UvA Library","09-12",24,"Male","Yes","4","Studying","Studying",2,"Accurate","1","Sally",2,7,"Uh yea, I am planning to go to my parents, I haven't visited them in a while. So yea, basically that.","Studying, a lot. ","based on truthful laughter about studying plans","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"46","46","Future","UvA Library","09-12",22,"Female","Yes","4","back home to spain","family time",2,"Accurate","1","Sally",2,7,"Yea so my family is coming to Amsterdam, so we will just do some sight seeing. This is the first time they come here, so maybe go to the Rijksmuseum and walk a bit. Just see Amsterdam. ","Yes, (unintelligible) Sunday I'm just going back to Spain"," ","unintelligible Sunday","Lie",2,0,0,0,1,0,0,0,"Truth",0,0,0,0,1,0,1,0,3,2,2,3,"Correct"
"47","47","Future","UvA Library","09-12",18,"Female","Yes","5","go to see a film, go to the market","study",1,"Accurate","1","Sally",1,5,"On Saturday I will, I am not entirely sure but I will probably go see a film and then maybe there's a market in the Jordaan on Saturdays that I go to sometimes to do my grocery shopping","On Sunday it's my friends 21st birthday, so we're probably gonna do something, but also there we aren't too sure what the plan is yet."," ","Done","Truth",0,0,0,0,0,0,2,0,"Lie",0,0,0,0,0,0,1,0,2,1,2,1,"Mistaken"
"48","48","Future","UvA Library","09-12",35,"Male","Yes","4","studying","dinner with brother in law",1,"Mistaken","0","Sally",2,10,"I need to study, actually. ","I am going to have dinner with my brother in law, but actually I am going to cancel that because I have to study as well, so that is what I planned to do, change of plans.","went with lack of detail","Done","Truth",0,0,0,0,0,0,0,0,"Lie",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"49","49","Future","UvA Library","09-12",24,"Female","Yes","5","ugly sweater run in vondelpark","studying",2,"Mistaken","0","Sally",8,3,"Next Saturday my cousin who lives in Aachen is going to visit me we had this plan for forever and we are finally going to walk around Amsterdam and just, you know, going to a bar or stuff","Well although I would have loved to show him even more of Amsterdam I actually have to study because I have exams the following week, so probably study.","Two lies? because no exams and not showing him ""more of amsterdam"" because not showing at all. Logical Deduction failed","Done","Lie",1,0,0,0,1,0,1,0,"Truth",1,0,0,0,0,0,0,0,3,1,1,3,"Correct"
"50","50","Future","UvA Library","09-12",22,"Female","Yes","4,5","studying","studying",1,"Accurate","1","Sally",2,3,"So next Saturday I think I'll be here again, to study, cus the week after is the session of exam, so we will be here working. ","Sunday I hope I'll be done with the study on Saturday, so probably I will be going to iceskating near by the Rijkmuseum, I don't know the prenunciation, and in the evening we will probably go see the Lights Festival. "," ","Done","Truth",0,0,0,0,0,0,2,0,"Lie",1,0,0,0,0,0,2,0,2,3,2,3,"Correct"
"51","51","Future","UvA Library","09-12",24,"Male","Yes","4,25","going out","doing nothing",1,"Mistaken","0","Sally",1,5,"On Saturday I am going out with friends, I think going out here in Amsterdam, with four other friends","On Sunday I going to play soccer, because I play in a soccer team and it is well like our weekend job let me say.","mentioning of 4 friends seemed suspicious","Done","Truth",0,0,0,0,1,0,1,0,"Lie",0,0,0,0,0,0,2,0,2,2,2,2,"Inconclusive"
"52","52","Future","UvA Library","09-12",24,"Female","Yes","4,5","study","study",1,"Mistaken","0","Sally",1,1,"On Saturday I plan to study, because I have a paper due on Monday. That is an assignment for our pre-master where I basicly just have to do a bunch of statistics stuff so that they can see that were are equipped to do the research master.","On Sunday it is my gym day, so I do my weight training, and then I do squats, and semi-squats, and hip-thrusts badsically, and yea. ","added details threw me off","Done","Truth",0,0,0,0,0,0,2,0,"Lie",0,0,0,0,0,0,1,0,2,1,2,1,"Mistaken"
"53","53","Future","UvA Library","09-12",24,"Female","Yes","4,5","friend visiting from Norway","Friend from Norway",2,"Mistaken","0","Sally",6,8,"It's my friend's birthday so we are going to celebrate her birthday at a party. She's turning 24, so we are going to go all out!","My friend is visiting me from Norway, so we will go out shopping."," ","Done","Lie",0,0,0,0,0,0,1,0,"Truth",0,0,0,0,1,0,0,0,1,1,1,1,"Inconclusive"
"54","54","Future","UvA Library","09-12",27,"Male","Yes","4","family time","study",2,"Accurate","1","Sally",5,4,"On Saturday, I hope to go study... I should study... so I'm going to try to get some work done, maybe at home but maybe here but I think it's only open till 6:00pm, so maybe... I'm not sure yet. "," I should study as well."," ","Done","Lie",0,0,1,0,0,0,1,0,"Truth",0,0,0,0,0,0,0,0,2,0,0,2,"Correct"
"55","55","Future","UvA Library","09-12",22,"Female","Yes","4","Studying for an exam","Sleep in and then go to work in the evening",2,"Mistaken","0","Anu",9,6,"I have a birthday party of a former, um yea, roommate of mine. She's turning 23, and we are having cheese fondue at some restaurant. After she wants to go to the Disco Dolly, so I think that's what the plan is.","I usually have to work on Sunday, so that's what I'll be doing. I'm going to sleep in I think, and then go to work."," ","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,1,0,0,1,1,0,"Mistaken"
"56","56","Future","UvA Library","09-12",22,"Male","Yes","3","Go out drinking","Do nothing",1,"Accurate","1","Anu",9,5,"Um I'm not quite sure, I'll probably go out working. I'll have finished with my exams by then, so uh... that's it.","I have a soccer match in the morning, so uh... and for the rest, I think that's it."," ","Done","Truth",0,0,0,0,0,0,0,0,"Lie",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"57","57","Future","UvA Library","09-12",21,"Male","Yes","4","Probably studying","probably studying",1,"Accurate","1","Anu",1,4,"Um I'm going to study. I have exams coming up next week, no not next week, the week after that. I do human geography, and we are just rounding up the course. So exams coming up, yay!","I actually have a family get together. We are going to Limburg in the North of the Netherlands, because one of my grandpa is turning 80, so that's quite a long time to be alive. So we are celebrating that close to Maastricht.","","Done","Truth",0,0,0,0,0,0,3,0,"Lie",0,1,0,0,2,0,2,0,3,5,3,5,"Correct"
"58","58","Future","UvA Library","09-12",26,"Male","Yes","5","Drink","Workout and read",2,"Mistaken","0","Anu",8,5,"Yea, I have a soccer game. A soccer match.","I am reading, and then probably working out.","","Done","Lie",1,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,0,0,1,0,0,1,"Correct"
